timept,category,freeze,utime,stime,cutime,cstime,min_flt,maj_flt,cmin_flt,cmaj_flt,vsz,rss,gen0,gen1,gen2,perm
0,reduction,False,0,0,0,0,634,0,0,0,233144320,4782,683,8,8,0
1,reduction,False,0,0,0,0,1470,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1922,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2294,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,642,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1476,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1930,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2300,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,635,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1473,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1923,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2296,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,647,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1484,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1927,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2305,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,639,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1489,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1922,0,0,0,233144320,4815,15,0,0,20610
1,reduction,True,0,0,0,0,2296,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,647,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1496,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1922,0,0,0,233144320,4815,15,0,0,20610
1,reduction,True,0,0,0,0,2306,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,638,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1922,0,0,0,233144320,4815,15,0,0,20610
1,reduction,True,0,0,0,0,2305,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,645,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1496,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1928,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2299,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,656,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1930,0,0,0,233144320,4784,15,0,0,20610
1,reduction,True,0,0,0,0,2298,0,0,0,233144320,5153,26,0,0,20610
0,reduction,False,0,0,0,0,646,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1484,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1932,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2303,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,646,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1485,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1931,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2314,0,0,0,233144320,5152,26,0,0,20610
